player_id,player_url,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minusPK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,Matches
3ad6a01a,https://fbref.com/en/players/3ad6a01a/Angela-Salem,Angela Salem,us USA,"FW,MF",WNY Flash,25,1988,23,22,"1,858",20.6,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
94ce95e3,https://fbref.com/en/players/94ce95e3/Lianne-Sanderson,Lianne Sanderson,eng ENG,FW,Boston Breakers,25,1988,19,17,"1,524",16.9,5,3,8,5,0,0,2,1,0.3,0.18,0.47,0.3,0.47,Matches
7e391bd8,https://fbref.com/en/players/7e391bd8/Jackie-Santacaterina,Jackie Santacaterina,us USA,DF,Red Stars,26,1987,13,9,779,8.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
d2612e86,https://fbref.com/en/players/d2612e86/Becky-Sauerbrunn,Becky Sauerbrunn,us USA,DF,Kansas City,28,1985,22,22,"1,935",21.5,1,0,1,1,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches
e8f90dc9,https://fbref.com/en/players/e8f90dc9/Sophie-Schmidt,Sophie Schmidt,ca CAN,MF,Sky Blue FC,25,1988,22,22,"1,964",21.8,1,0,1,1,0,1,1,0,0.05,0,0.05,0.05,0.05,Matches
db2aac86,https://fbref.com/en/players/db2aac86/Katie-Schoepfer,Katie Schoepfer,us USA,FW,Boston Breakers,25,1988,17,12,989,11,4,0,4,4,0,0,0,0,0.36,0,0.36,0.36,0.36,Matches
a2003d2d,https://fbref.com/en/players/a2003d2d/Meleana-Shim,Meleana Shim,us USA,MF,Thorns,22,1991,17,4,530,5.9,0,2,2,0,0,0,1,0,0,0.34,0.34,0,0.34,Matches
b6a71142,https://fbref.com/en/players/b6a71142/Bianca-Sierra,Bianca Sierra,mx MEX,DF,Boston Breakers,21,1992,11,9,798,8.9,0,1,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
b6a71142,https://fbref.com/en/players/b6a71142/Bianca-Sierra,Bianca Sierra,mx MEX,DF,Spirit,21,1992,9,5,520,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
faaae58c,https://fbref.com/en/players/faaae58c/Frances-Silva,Frances Silva,us USA,"FW,MF",Kansas City,21,1992,18,5,568,6.3,2,1,3,2,0,0,0,0,0.32,0.16,0.48,0.32,0.48,Matches
8d7667f4,https://fbref.com/en/players/8d7667f4/Christine-Sinclair,Christine Sinclair,ca CAN,"FW,MF",Thorns,30,1983,23,22,"1,987",22.1,7,1,8,7,0,0,2,0,0.32,0.05,0.36,0.32,0.36,Matches
0e53dd2e,https://fbref.com/en/players/0e53dd2e/Alex-Singer,Alex Singer,us USA,DF,Spirit,26,1987,11,11,972,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
396b5535,https://fbref.com/en/players/396b5535/Julianne-Sitch,Julianne Sitch,us USA,"DF,MF",Red Stars,30,1983,11,9,762,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
9f7cccaa,https://fbref.com/en/players/9f7cccaa/Jennifer-Skogerboe,Jennifer Skogerboe,us USA,MF,Spirit,21,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
88414ae7,https://fbref.com/en/players/88414ae7/Hope-Solo,Hope Solo,us USA,GK,Reign,32,1981,20,20,"1,800",20,,,,,0,0,,,,,,,,Matches
504f99ae,https://fbref.com/en/players/504f99ae/Jasmyne-Spencer,Jasmyne Spencer,us USA,"DF,FW",WNY Flash,23,1990,22,9,933,10.4,3,1,4,3,0,0,1,0,0.29,0.1,0.39,0.29,0.39,Matches
ff322b25,https://fbref.com/en/players/ff322b25/Nikki-Stanton,Nikki Stanton,us USA,MF,Sky Blue FC,23,1990,4,0,78,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
c0bf220c,https://fbref.com/en/players/c0bf220c/Chelsea-Stewart,Chelsea Stewart,ca CAN,MF,Boston Breakers,23,1990,10,7,512,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
d6f3e728,https://fbref.com/en/players/d6f3e728/Elisabeth-Sullivan,Elisabeth Sullivan,us USA,FW,Thorns,22,1991,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49a16c2d,https://fbref.com/en/players/49a16c2d/Melissa-Tancredi,Melissa Tancredi,ca CAN,FW,Red Stars,32,1981,13,7,682,7.6,3,1,4,3,0,0,2,1,0.4,0.13,0.53,0.4,0.53,Matches
