player_id,player_url,Player,Nation,Pos,Squad,Born,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minusPK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,Matches
9e4b26a2,https://fbref.com/en/players/9e4b26a2/Nikki-Marshall,Nikki Marshall,us USA,"DF,FW",Thorns,1988,22,22,"1,871",20.8,0,1,1,0,0,0,1,0,0,0.05,0.05,0,0.05,Matches
09873d76,https://fbref.com/en/players/09873d76/Ella-Masar,Ella Masar,us USA,FW,Red Stars,1986,20,14,"1,206",13.4,3,2,5,3,0,0,0,0,0.22,0.15,0.37,0.22,0.37,Matches
2fbb9565,https://fbref.com/en/players/2fbb9565/Diana-Matheson,Diana Matheson,ca CAN,MF,Spirit,1984,19,19,"1,699",18.9,8,3,11,4,4,4,0,0,0.42,0.16,0.58,0.21,0.37,Matches
98d7b49e,https://fbref.com/en/players/98d7b49e/Merritt-Mathias,Merritt Mathias,us USA,"DF,MF",Kansas City,1990,22,19,"1,738",19.3,2,3,5,2,0,0,3,0,0.1,0.16,0.26,0.1,0.26,Matches
7a8dbc0f,https://fbref.com/en/players/7a8dbc0f/Alyssa-Mautz,Alyssa Mautz,us USA,"FW,MF",Red Stars,1989,18,8,901,10,4,0,4,4,0,0,3,0,0.4,0,0.4,0.4,0.4,Matches
3aee88e9,https://fbref.com/en/players/3aee88e9/Bryanna-McCarthy,Bryanna McCarthy,ca CAN,DF,WNY Flash,1991,1,0,,0,0,,,0,0,0,0,0,,,,,,Matches
0eee4661,https://fbref.com/en/players/0eee4661/Tiffany-McCarty,Tiffany McCarty,us USA,FW,Spirit,1990,21,12,"1,242",13.8,2,0,2,2,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
2b512abc,https://fbref.com/en/players/2b512abc/Jessica-McDonald,Jessica McDonald,us USA,FW,Reign,1988,7,6,434,4.8,3,1,4,3,0,0,0,0,0.62,0.21,0.83,0.62,0.83,Matches
2b512abc,https://fbref.com/en/players/2b512abc/Jessica-McDonald,Jessica McDonald,us USA,FW,Red Stars,1988,9,3,323,3.6,0,1,1,0,0,0,0,0,0,0.28,0.28,0,0.28,Matches
0746d6c2,https://fbref.com/en/players/0746d6c2/Erin-McLeod,Erin McLeod,ca CAN,GK,Red Stars,1983,16,16,"1,440",16,,,,,0,0,,,,,,,,Matches
e17d8b27,https://fbref.com/en/players/e17d8b27/Kia-McNeill,Kia McNeill,us USA,DF,Boston Breakers,1986,21,21,"1,890",21,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
dde9960a,https://fbref.com/en/players/dde9960a/Kristen-Meier,Kristen Meier,us USA,"DF,MF",Reign,1991,6,4,364,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
bd6e2971,https://fbref.com/en/players/bd6e2971/Melinda-Mercado,Melinda Mercado,us USA,DF,Boston Breakers,1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
cd5e683b,https://fbref.com/en/players/cd5e683b/Kristie-Mewis,Kristie Mewis,us USA,"DF,MF",Kansas City,1991,20,20,"1,784",19.8,1,0,1,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
b7936b81,https://fbref.com/en/players/b7936b81/Caroline-Miller,Caroline Miller,us USA,FW,Spirit,1991,7,1,199,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1a64f434,https://fbref.com/en/players/1a64f434/Alex-Morgan,Alex Morgan,us USA,FW,Thorns,1989,18,18,"1,525",16.9,8,5,13,7,1,1,4,0,0.47,0.3,0.77,0.41,0.71,Matches
5577c271,https://fbref.com/en/players/5577c271/Carmelina-Moscato,Carmelina Moscato,ca CAN,DF,Boston Breakers,1984,5,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5577c271,https://fbref.com/en/players/5577c271/Carmelina-Moscato,Carmelina Moscato,ca CAN,DF,Red Stars,1984,5,4,363,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
4c1ee572,https://fbref.com/en/players/4c1ee572/Alyssa-Naeher,Alyssa Naeher,us USA,GK,Boston Breakers,1988,9,8,765,8.5,,,,,0,0,,,,,,,,Matches
2a590b68,https://fbref.com/en/players/2a590b68/Christine-Nairn,Christine Nairn,us USA,MF,Reign,1990,22,22,"1,922",21.4,3,5,8,3,0,1,2,0,0.14,0.23,0.37,0.14,0.37,Matches
eec1bf4f,https://fbref.com/en/players/eec1bf4f/Ashley-Nick,Ashley Nick,us USA,MF,Sky Blue FC,1987,3,2,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5530f6cd,https://fbref.com/en/players/5530f6cd/Natalie-Norris,Natalie Norris,us USA,DF,Kansas City,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
0db34817,https://fbref.com/en/players/0db34817/Teresa-Noyola,Teresa Noyola,mx MEX,"FW,MF",Reign,1990,11,8,759,8.4,1,1,2,1,0,0,0,0,0.12,0.12,0.24,0.12,0.24,Matches
0db34817,https://fbref.com/en/players/0db34817/Teresa-Noyola,Teresa Noyola,mx MEX,"FW,MF",Kansas City,1990,7,1,155,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5ebefe20,https://fbref.com/en/players/5ebefe20/Kelley-OHara,Kelley O'Hara,us USA,"DF,FW",Sky Blue FC,1988,12,10,922,10.2,0,3,3,0,0,0,2,0,0,0.29,0.29,0,0.29,Matches
3382578f,https://fbref.com/en/players/3382578f/Emilee-ONeil,Emilee O'Neil,us USA,"DF,MF",Thorns,1983,4,1,141,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
1590d091,https://fbref.com/en/players/1590d091/Heather-OReilly,Heather O'Reilly,us USA,"FW,MF",Boston Breakers,1985,20,20,"1,734",19.3,5,6,11,4,1,1,1,0,0.26,0.31,0.57,0.21,0.52,Matches
90ac5aca,https://fbref.com/en/players/90ac5aca/Monica-Ocampo,Mónica Ocampo,mx MEX,FW,Sky Blue FC,1987,16,9,965,10.7,8,2,10,8,0,0,0,0,0.75,0.19,0.93,0.75,0.93,Matches
a048cb2f,https://fbref.com/en/players/a048cb2f/Stephanie-Ochs,Stephanie Ochs,us USA,FW,Spirit,1990,22,21,"1,840",20.4,1,2,3,1,0,0,0,0,0.05,0.1,0.15,0.05,0.15,Matches
b04a1df4,https://fbref.com/en/players/b04a1df4/Leslie-Osborne,Leslie Osborne,us USA,MF,Red Stars,1983,18,18,"1,550",17.2,1,0,1,1,0,0,2,0,0.06,0,0.06,0.06,0.06,Matches
85fb9bf1,https://fbref.com/en/players/85fb9bf1/Lyndsey-Patterson,Lyndsey Patterson,us USA,"FW,MF",Reign,1982,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
